challenge_id,challenge_name,team_id,team_name,created_at
43435,Based0x,232987,Shitwood Army,2025-03-14 15:01:31
46595,UniquelyPowerfulExecutable,67566,BKISC,2025-03-14 15:02:11
43453,Uncoding,67566,BKISC,2025-03-14 15:02:57
46150,Password Breaker,67566,BKISC,2025-03-14 15:03:29
43457,Spelunking,202373,Qexploits,2025-03-14 15:04:44
43450,Erasure,224796,L.A.R.P.,2025-03-14 15:05:06
46148,RanSomewhere,67566,BKISC,2025-03-14 15:05:49
46598,Almanac,224796,L.A.R.P.,2025-03-14 15:06:05
43437,Neighbour Primes,67566,BKISC,2025-03-14 15:08:05
43478,Space(T)race,224796,L.A.R.P.,2025-03-14 15:08:37
45689,SqueezedSnake,67566,BKISC,2025-03-14 15:09:27
43697,Untraceable,67566,BKISC,2025-03-14 15:10:13
43455,Unpacking,224796,L.A.R.P.,2025-03-14 15:10:52
45681,RsaCtfTool,67566,BKISC,2025-03-14 15:12:16
43660,Partial Knowledge,231410,BITSkrieg2025,2025-03-14 15:12:17
43474,Repeated Maleficence,231410,BITSkrieg2025,2025-03-14 15:12:33
43440,ViSquared,163796,Heroes Cyber Security,2025-03-14 15:14:38
43447,RSA Leaks,67566,BKISC,2025-03-14 15:17:44
46592,ThreeKeys,228850,[AI] CAI,2025-03-14 15:21:53
45684,ROFL,67566,BKISC,2025-03-14 15:24:03
