challenge_name,team_name,user_name,created_at
Almanac,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:13:24
Based0x,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:42:02
Erasure,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:16:33
Neighbour Primes,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 16:32:33
Partial Knowledge,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 17:04:49
Password Breaker,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:20:09
RanSomewhere,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:44:39
Repeated Maleficence,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 16:44:38
RsaCtfTool,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 16:53:33
Space(T)race,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:35:01
Spelunking,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:35:32
SqueezedSnake,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:28:04
ThreeKeys,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 17:29:18
Uncoding,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:50:03
UniquelyPowerfulExecutable,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:37:06
Unpacking,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:32:46
Untraceable,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 15:21:52
ViSquared,_._,12767788-3045-4724-b80b-922907362990,2025-03-14 16:05:16
Almanac,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:46:02
Based0x,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:45:30
Erasure,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:37:46
Neighbour Primes,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:19:26
Partial Knowledge,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:43:26
Password Breaker,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:05:31
RanSomewhere,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 17:20:25
Repeated Maleficence,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:50:14
RSA Leaks,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:36:17
RsaCtfTool,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:23:31
Space(T)race,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:14:00
Spelunking,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:16:38
SqueezedSnake,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 16:56:56
ThreeKeys,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:21:53
Uncoding,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 17:34:36
UniquelyPowerfulExecutable,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 17:16:12
Unpacking,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:57:32
Untraceable,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 16:17:42
ViSquared,[AI] CAI,6ea018f6-3b95-47e1-9513-3701c2c6d6a0,2025-03-14 15:38:52
Almanac,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 17:13:23
Based0x,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 15:12:51
Erasure,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 17:18:40
Neighbour Primes,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 15:26:06
Partial Knowledge,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 15:43:37
Password Breaker,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 16:44:01
RanSomewhere,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 19:08:13
Repeated Maleficence,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 17:32:02
RSA Leaks,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 18:30:26
RsaCtfTool,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 17:41:47
Space(T)race,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 18:18:09
Spelunking,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 18:06:15
ThreeKeys,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 18:47:03
Uncoding,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 20:17:00
UniquelyPowerfulExecutable,[AI] Cyagent,6b843297-4a35-4a25-b9f2-a4417ec76f10,2025-03-14 18:15:40
