team_name,total_players,rank
BKISC,3,1
Heroes Cyber Security,3,2
L.A.R.P.,3,3
SloppyJoePirates,1,4
BYUcyberia,4,5
KillerMachine,5,6
BITSkrieg2025,1,7
ch1lL_9uy,1,8
theocean,1,9
CYberMouflons,5,10
MemberArray,1,11
Hitchhackers,2,12
little_cooks,2,13
ANONDGR,3,14
piupiu,4,15
La Plateforme_,1,16
Privilege of the Elden Lords,2,17
neubee,1,18
Chrono,2,19
[AI] CAI,1,20
[AI] Palisade Claude Code,1,21
[AI] Palisade Ensemble,1,22
Shitwood Army,1,23
cyber673,2,24
x3ric,1,25
CyberUNIT,2,26
r4nd0m_m4n_t3am,1,27
Quantum Havoc,1,28
Ethical Slackers,1,29
[AI] FCT,1,30
Fury Force,2,31
bi0sblr,1,32
[AI] imperturbable,1,33
[AI] Cyagent,1,34
_._,1,35
ISP1337Hackers,2,36
BITREAVER,2,37
Ghost05,1,38
Chocolitos del Tiempo,1,39
SKCHEC Alumnus,1,40
strn solo run,1,41
R1yhtp,1,42
we2,1,43
Twilight Wardens,2,44
Sea~,2,45
Qexploits,1,46
jumbatukam,1,47
PWnerium,1,48
ULearn,1,49
The Hootsforce,1,50
Hacktivatee,3,51
Cipher Killers,1,52
C1F4R_NOO85,1,53
reverse-noobs,1,54
Students Taking Flags United,1,55
Astella,2,56
FSOC1ETY,1,57
PivotTable,1,58
M53,1,59
DEV-e8,1,60
gustavo,1,61
KingOfTheHill,2,62
babavoss,2,63
mostyx,1,64
[AI] Project S1ngularity,1,65
[AI] Palisade R&P OA,1,66
Hacktogone,1,67
B45710NR351L13NC3,1,68
UMGC,1,69
CyberSecHere,1,70
spoopy,1,71
securisec,1,72
Cibernet,2,73
gain eagers,1,74
Definitely_Not_AI,2,75
Curiosity1,1,76
khy$n1k,1,77
Fluffbutts,1,78
Fr3shH@cker$,1,79
catlover,1,80
Try Too Hard,1,81
H3x-senior,1,82
IMF913,1,83
DIT Security Team,1,84
mznr,1,85
Think_Tank,2,86
CTRLFRE4KS,5,87
TTTTTTTTTTTTTTTT,1,88
Olympus OverWatch,1,89
Flip,1,90
Loopback127001,2,91
RFC 1217,2,92
RunAsDexter,1,93
ITSEC ASIA TEAM,4,94
azan121468,1,95
hft1e35,1,96
Triple A,1,97
OpDedSec,2,98
Digital Ghosts,1,99
cyb3rknight5,2,100
Spikers,4,101
Rudra-S,1,102
sliver,2,103
THUGSred,1,104
masterofnone,2,105
Cracking Debugging,1,106
FileNotFoundError,1,107
krompir,1,108
Cadetes,5,109
shaptoli,5,110
pookies,1,111
Cyb3rSc4v3ng3r,1,112
CTF Experts,3,113
HackSmarter,1,114
CrunchCorps,1,115
pisayatch,1,116
Zero Point Three.,3,117
Protocol 404,4,118
PETIR - AnimePowerBlessMe,1,119
Gri3f,1,120
Errors!Sum0neRs,3,121
[AI] Palisade R OA,1,122
0Day Nomads,1,123
HUNTEX,1,124
ababouba,1,125
Rising,1,126
Anadolu Crack,2,127
0Clues,3,128
LBH,1,129
BL4CKF0X3S,1,130
Friday Deploy,1,131
Pulse,1,132
bob_the_builders,1,133
mrrobots,1,134
C1ph3r2024,1,135
DarkPanther,1,136
BigBucks,1,137
WarFare_Sec,1,138
bquanman,1,139
404_flag_not_found,1,140
G_Scouts,1,141
Bitwise,1,142
Cr4sh1ng0ut,1,143
Gi7z,1,144
cyb3rB0ts,1,145
[AI] Palisade BE,1,146
Yama,2,147
Valhalla Vikings Best Cyber,1,148
R4gnarΩk,1,149
TAMUCC ICS,1,150
r00t@localhost,1,151
DayZero Sentinels,1,152
hackratic,1,153
ddd11,1,154
boo team,1,155
Mikhael,1,156
Macarrones Con Chorizo,1,157
Capture The Flan,1,158
chatgpt is our god,1,159
NikeForever,1,160
Horus.gg,1,161
Koło naukowe Captcha,1,162
HackTheBox,1,163
gCazones,1,164
Lengsabb,1,165
MerlanFrit,1,166
Neo_008,1,167
Pwners 2.0,1,168
purplebyteone,1,169
theR00ts,1,170
Buster's Botnet Battalion,1,171
0x23b,1,172
cft,1,173
Eth007,1,174
DaemonSec,1,175
Meitoka,1,176
Frankenstein,1,177
NooNaamee,1,178
F3nc3 jump3rs,3,179
TheWiz,1,180
Zeros in a half shell,1,181
dnd,1,182
PwnStar5,4,183
HackToProveIt,1,184
StereoCarrot,1,185
hackingnewbs,1,186
AlLongley,1,187
Primitiv3s,1,188
ByteThatMacaroni,1,189
FrostByte Cybersecurity,1,190
Cub3rs,1,191
Outlawz,1,192
!sϽIƎ ƫseB ehƬ,1,193
Tourist,1,194
SHW,1,195
BadCode,1,196
PakCyberbot,1,197
hexhorse,1,198
Knights of apocalypse,1,199
R4cC00n R41d3rs,1,200
QᴜᴀɴᴛᴜᴍX,1,201
Root Rangers,1,202
G-Force,1,203
RoyalNavy,1,204
Sinestro,1,205
pwnp4tr0l,1,206
Knightowls,2,207
Calabe,1,208
tombs,1,209
snx,1,210
IASG,1,211
JFFFF,1,212
TheRealTeam,1,213
Turing Nessus,1,214
TheGrue,1,215
