name,participation_count,points,rank,ai_rank
Friendly Maltese Citizens,20,57025,1,
AIGenerated,13,57025,2,
Synacktiv,20,57025,3,
Thehackerscrew,18,57025,4,
L3ak,20,57025,5,
Wanna.W1n,9,57025,6,
Halloumi in the Needle,19,57025,7,
no rev/pwn no life,20,57025,8,
SNI,16,57025,9,
Superflat,20,57025,10,
ADMinions,13,57025,11,
valgrind,20,57025,12,
Hungarian Cyber Security Team,20,57025,13,
QnQSec,12,57025,14,
PwnSec,20,56025,15,
TU Delft CTF Team 2.0,15,56025,16,
World Wide Flags,20,56025,17,
shaptoli,9,56025,18,
csc-moi-iraq,15,56025,19,
FR13NDS TEAM,17,56025,20,
noreply,17,55075,21,
Watch4Hack,13,55075,22,
PWNetwork,13,55050,23,
42Roma,19,55050,24,
Viettel Cyber Security,20,55050,25,
0xL4ugh - Free Palestine,18,55025,26,
ReNight0x,6,55025,27,
> r0/dev/null,10,55025,28,
Hungry Sharks,19,55025,29,
Stonks Security,20,55025,30,
Uqbar,20,55025,31,
0xUA,14,55025,32,
HCSUI,20,54075,33,
Brunnerne,20,54075,34,
NullP01nterException,17,54075,35,
DЕAS,20,54050,36,
ChiLL Chain,15,54025,37,
CiberSecUNI,19,54025,38,
BabylonCyberTeam,19,54025,39,
Bembangan Time,19,54025,40,
Blind_Virus,5,54025,41,
kabexnuf,1,54025,42,
CyberXoX,17,54025,43,
CyberwireZ,14,54025,44,
ISP1337Hackers,13,54025,45,
Gh0stByt3z,3,54025,46,
DOMBUSTERS,20,54025,47,
AutisticPenguin,11,54025,48,
CyberUNIT,4,54025,49,
x3ric,1,54025,50,
HxPloit UPC,9,54025,51,
BLUME,1,54025,52,
W40X,3,54025,53,
b4ck411ack,12,54025,54,
OwlSec,6,54025,55,
4GUn7uk,4,54025,56,
SLAYERS_,12,54025,57,
Cl0wn W0rld,8,54025,58,
SilkRoad_Pharmacists,17,54025,59,
ScriptKiddo,11,54025,60,
C4P&M3,1,54025,61,
USTH Coders Club,14,54025,62,
xSysReaper,2,54025,63,
Lightway,11,54025,64,
Squid Proxy Lovers,20,53100,65,
SleepyHollow,9,53100,66,
_kingofduck_,1,53100,67,
Ganesh,12,53100,68,
full_weak_engineer,9,53075,69,
_STT_,17,53075,70,
Pr1m3d,8,53075,71,
CascRoot,20,53050,72,
Z3dbytes,7,53050,73,
Schrodinger Bears,12,53050,74,
DonutGetFlags,8,53050,75,
Imp3rator,14,53050,76,
bi0sblr,19,53050,77,
SegFault Syndicate,3,53050,78,
CTF@5000,1,53050,79,
Tarnished Monkeys,8,53050,80,
BKISC,2,52150,81,
xpartans,1,52125,82,
EDFunit61000,16,52100,83,
MARCIO HEROBRINE,14,52100,84,
Petir Cyber Security,19,52100,85,
Frankenstein,18,52100,86,
FlagMotori,14,52100,87,
0xHUST,16,52075,88,
OverFlowOps,7,52075,89,
BEASTHOOD,5,52075,90,
secflag,13,51975,91,
Cyber_313,2,51175,92,
AirOverFlow,11,51150,93,
superusers,13,51125,94,
BlackVault,8,51125,95,
Just blue,20,51125,96,
XxxlolZ,1,51100,97,
syntax errors,12,51100,98,
0xH3xSec,18,51100,99,
DC11506,19,51100,100,
Lawsuit,9,51100,101,
Al-Shaaab Uni,7,50325,102,
Pwn-la-Chapelle,16,50175,103,
CS,17,50150,104,
El Bunker,1,50150,105,
Pwned by Grandma,3,50150,106,
RaptX,18,50125,107,
D351GN3RX,2,50125,108,
HAXSORA,16,50125,109,
Galette Cidre CTF,19,50000,110,
Al-Hindi Team,8,49175,111,
warm0ngers,2,49175,112,
Seachu,1,49175,113,
cyberflippers,4,49175,114,
The Shadow Syndicate,9,49150,115,
UOB Team,18,49150,116,
JUNGL3_G4P,5,48750,117,
okbos_sec,10,48300,118,
Team Kirby,9,48250,119,
Heaven's_Birds,13,48200,120,
#C0FFEE,17,48200,121,
WannaCryptic,6,48200,122,
The Jsons,18,48175,123,
H4ck3rst4N,7,48175,124,
𝕮𝖞𝖇𝖊𝖗 𝕮𝖆𝖙𝖆𝖑𝖞𝖘𝖙,7,48175,125,
MATPEIIIKA,17,48025,126,
itsnotagame,10,47725,127,
buttf14g,1,47250,128,
die_trying,8,47225,129,
Sentinels of Security,3,47225,130,
Sh@d0wR!d3rs,9,47225,131,
ETERNAL_$TARTERS,15,47200,132,
aligator.exe,11,47200,133,
BITREAVER,3,47200,134,
B1nary B4nditz,11,47200,135,
Detachment2702,2,47200,136,
Primitiv3s,10,47200,137,
PsychoTherapist,12,47200,138,
Hack@Sec,16,46850,139,
ANONDGR,20,46775,140,
DØn10n$,4,46350,141,
ACS-ESP_2025,12,46325,142,
BenTen,1,46325,143,
